This is the header text
Date header	Time header	AIn_1	AIn_2
[%Y-%m-%d]	[%H:%M:%S]	[V]	[V]
2020-02-13	10:18:30	0.001	0.001
2020-02-13	10:18:30	0.001	0
2020-02-13	10:18:30	0.001	0.001
2020-02-13	10:18:30	0.001	0.001
2020-02-13	10:18:30	0.001	0.002
2020-02-13	10:18:30	0.001	0
2020-02-13	10:18:30	0.001	0
2020-02-13	10:18:30	0.002	0.001
2020-02-13	10:18:30	0.001	0.001
2020-02-13	10:18:30	0.001	0.001
2020-02-13	10:18:31	0.002	0.001
2020-02-13	10:18:31	0.001	0.001
2020-02-13	10:18:31	0	0.001
2020-02-13	10:18:31	0.001	0.001
2020-02-13	10:18:31	0.001	0.001
2020-02-13	10:18:31	0.001	0.001
2020-02-13	10:18:31	0.001	0.001
